1005004000_velocity,1050003300_velocity,1050020400_velocity,1070000200_velocity,1070000500_velocity,1070001600_velocity,F-03 유입_traffic,F-04 유출_traffic,기온(°C),강수량(mm),풍속(m/s),습도(%),적설(cm),Year,is_weekend,is_holiday,is_morning_rush,is_evening_rush,month_sin,month_cos,hour_sin,hour_cos
21.89,68.58,22.6,18.83,36.17,50.5,3805.0,2880.0,16.5,,3.3,40.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.8660254037844386,0.5000000000000001
29.3,74.5,26.09,65.33,62.58,58.25,3284.0,2628.0,15.0,,2.2,48.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.7071067811865477,0.7071067811865474
29.58,73.5,24.96,68.75,65.17,73.17,3184.0,2655.0,14.2,,2.5,54.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384
42.31,76.75,23.08,69.75,62.0,73.17,2458.0,2019.0,13.5,,1.6,54.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.25881904510252157,0.9659258262890681
36.11,76.08,21.08,72.25,67.33,82.33,1598.0,1435.0,12.3,,1.5,62.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-2.4492935982947064e-16,1.0
34.34,80.33,19.07,75.58,66.92,88.25,1192.0,1148.0,12.2,,0.8,55.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.25881904510252074,0.9659258262890683
39.02,78.0,18.08,75.0,66.17,94.17,875.0,828.0,11.8,,0.9,55.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387
39.5,75.67,20.22,76.67,66.42,91.25,748.0,753.0,11.4,,1.5,53.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.7071067811865476,0.7071067811865476
33.59,78.33,20.99,74.08,67.33,91.92,1099.0,1116.0,10.7,,2.0,56.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001
38.28,77.33,22.34,74.17,66.33,88.5,2397.0,2491.0,10.2,,2.0,61.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.9659258262890683,0.25881904510252074
40.28,81.5,26.31,74.58,64.83,77.0,3871.0,3005.0,9.7,,1.9,65.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
34.59,87.67,23.58,59.5,66.25,59.67,3992.0,2923.0,10.2,,1.3,65.0,,2022,False,False,True,False,0.8660254037844387,-0.4999999999999998,0.9659258262890683,-0.25881904510252063
34.19,84.75,25.53,74.0,67.25,72.25,3884.0,2823.0,12.8,,1.6,58.0,,2022,False,False,True,False,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998
26.43,84.17,25.7,74.33,69.67,64.17,3822.0,2918.0,15.2,,1.7,52.0,,2022,False,False,True,False,0.8660254037844387,-0.4999999999999998,0.7071067811865476,-0.7071067811865475
24.94,82.5,25.52,68.42,67.0,65.25,3673.0,2956.0,17.4,,1.2,36.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.49999999999999994,-0.8660254037844387
34.06,82.17,20.37,38.42,63.25,54.42,3665.0,2794.0,20.0,,2.5,24.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.258819045102521,-0.9659258262890682
29.8,80.58,22.39,30.33,63.08,40.0,3665.0,2975.0,21.3,,3.7,22.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0
37.75,78.42,21.96,56.75,66.83,55.25,3620.0,2955.0,21.1,,3.9,25.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.2588190451025208,-0.9659258262890683
36.29,78.42,20.95,41.25,63.08,51.08,3628.0,2937.0,22.5,,3.9,23.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.4999999999999997,-0.8660254037844388
32.69,78.5,20.6,24.58,62.25,54.58,3656.0,2992.0,21.9,,4.5,25.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.7071067811865471,-0.7071067811865479
29.98,75.92,27.4,23.83,61.58,52.83,3668.0,3048.0,21.4,,5.7,23.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.8660254037844385,-0.5000000000000004
29.82,52.92,22.32,18.75,45.67,53.33,3668.0,3092.0,20.2,,5.2,47.0,,2022,False,False,False,True,0.8660254037844387,-0.4999999999999998,-0.9659258262890683,-0.25881904510252063
15.65,13.17,21.91,17.75,25.83,53.33,3691.0,3120.0,18.8,,4.1,54.0,,2022,False,False,False,True,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16
19.82,12.5,21.27,17.92,24.75,55.33,3702.0,2910.0,17.8,,3.9,55.0,,2022,False,False,False,True,0.8660254037844387,-0.4999999999999998,-0.9659258262890684,0.2588190451025203
21.68,59.92,22.61,18.67,33.67,48.92,3428.0,2931.0,17.0,,3.7,58.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.8660254037844386,0.5000000000000001
28.06,76.33,24.43,56.08,60.33,51.0,3511.0,2910.0,16.8,,3.2,55.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.7071067811865477,0.7071067811865474
32.62,73.08,21.2,67.0,63.17,65.83,3319.0,2619.0,16.3,,4.3,59.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384
41.06,75.5,21.67,68.83,61.17,74.25,2547.0,2096.0,15.9,,2.7,59.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.25881904510252157,0.9659258262890681
34.59,81.5,20.73,72.25,65.25,82.0,1741.0,1539.0,12.9,,1.6,53.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-2.4492935982947064e-16,1.0
39.87,80.17,20.24,75.58,65.75,88.83,1235.0,1136.0,15.1,,2.5,59.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.25881904510252074,0.9659258262890683
39.15,74.42,17.89,76.67,66.17,91.08,961.0,916.0,14.9,,2.9,61.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387
42.3,75.83,16.97,76.42,65.33,92.0,873.0,827.0,14.5,,2.5,62.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.7071067811865476,0.7071067811865476
41.61,78.67,19.18,75.67,65.92,91.83,1068.0,1144.0,14.2,,2.2,64.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001
40.72,77.67,18.41,73.42,66.33,89.5,2430.0,2526.0,14.3,,5.2,69.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.9659258262890683,0.25881904510252074
